Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
11154,"Adams, Alma",21545,118,2023,NC,12,1,2014,1,63,0,0,14,0,0,1,0,3969,0,0,1,0,0,0,0,1,1,0,6,220,176,100,"ADAMS, Alma",A000370,1946,,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.157497,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.157497,0.542949,0.290076,1,19,0,0,0,0,19,0,0,0,0,0.508626,0.309651,1,0.688093,0.931207,174
11155,"Aderholt, Robert",29701,118,2023,AL,4,0,1996,0,84,0,0,7,0,1,0,0,7056,1,0,0,0,1,0,0,0,0,0,14,228,204,200,"ADERHOLT, Robert",A000055,1965,,1,0,1,1,1,4,0,1,0,0,1,0,1,0,0,0.376510,1,0,1,1,1,4,0,1,0,0,1,0,1,1,1,1.027923,1.510693,0.680431,2,6,2,0,3,2,6,1,0,3,1,1.508004,0.249674,1,0.000000,0.000000,133
11156,"Aguilar, Pete",21506,118,2023,CA,33,1,2014,0,58,0,0,52,0,0,0,1,3364,1,0,0,0,0,0,1,1,1,0,5,220,34,100,"AGUILAR, Peter Rey",A000371,1979,,1,1,1,1,1,8,0,1,1,1,0,0,0,0,0,0.954473,1,1,1,1,1,8,0,1,1,1,0,0,0,0,0,0.583638,0.538739,1.083341,2,9,2,1,2,2,9,2,1,2,2,0.506303,1.885179,3,0.703024,0.615706,77
11157,"Alford, Mark",22300,118,2023,MO,4,0,2022,0,71,1,0,8,0,0,0,0,5041,0,0,0,0,1,0,0,0,0,1,1,228,185,200,"ALFORD, Mark",A000379,1963,,0,0,0,0,0,18,3,2,1,0,0,0,0,0,0,0.554545,0,0,0,0,0,18,3,2,1,0,0,0,0,0,0,0.534350,1.189814,0.449103,1,18,1,3,2,0,18,1,3,2,0,1.217968,0.455304,1,,,190
11158,"Allen, Rick",21516,118,2023,GA,12,0,2014,0,60,1,0,14,0,0,0,0,3600,0,0,0,0,1,0,0,0,0,0,5,228,132,200,"ALLEN, Rick W.",A000372,1951,,1,1,1,1,1,15,2,2,0,0,1,1,1,1,0,0.987057,1,1,1,1,1,15,2,3,1,1,1,1,1,1,0,1.302401,1.206655,1.079348,2,17,3,4,5,2,17,2,4,4,1,1.227256,0.804279,2,0.084844,0.419160,103
11159,"Allred, Colin",21900,118,2023,TX,32,1,2018,0,65,0,1,38,0,0,1,0,4225,0,0,0,0,0,0,0,1,1,0,3,220,150,100,"ALLRED, Colin",A000376,1983,,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0.247130,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0.243629,0.530318,0.459401,1,15,0,1,1,0,15,0,1,1,0,0.501659,0.492625,1,1.153693,1.021641,152
11160,"Amo, Gabe",22375,118,2023,RI,1,1,2023,0,65,-1,0,2,0,0,1,0,4225,0,0,0,0,0,0,0,1,1,1,1,220,215,100,"AMO, Gabe",A000380,1987,,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.019038,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.019038,0.521898,0.036479,1,3,0,0,0,0,3,0,0,0,0,0.497015,0.038305,1,,,215
11161,"Amodei, Mark",21196,118,2023,NV,2,0,2011,0,60,0,0,4,0,1,0,0,3600,1,0,1,0,1,0,0,0,0,0,7,228,89,200,"AMODEI, Mark E.",A000369,1958,,0,0,0,0,0,8,3,2,0,0,3,1,3,3,0,1.521231,0,0,0,0,0,8,3,2,1,1,3,1,3,3,1,2.314062,1.481222,1.562265,3,11,4,4,5,2,11,3,4,5,0,1.491749,1.019764,2,0.237732,0.237732,38
11162,"Armstrong, Kelly",21901,118,2023,ND,1,0,2018,0,62,0,0,1,0,0,0,0,3844,0,0,1,0,1,0,0,0,0,0,3,228,118,200,"ARMSTRONG, Kelly",A000377,1976,,1,1,1,0,0,23,3,3,1,0,1,1,1,1,0,1.146118,1,1,1,0,0,23,3,3,1,0,1,1,1,1,0,1.088333,1.198235,0.908280,2,25,2,5,5,0,25,2,5,5,0,1.222612,0.937434,2,0.161288,0.161288,121
11163,"Arrington, Jodey",21700,118,2023,TX,19,0,2016,0,80,1,0,38,0,0,0,0,6400,1,1,0,0,1,0,0,0,0,0,4,228,79,200,"ARRINGTON, Jodey Cook",A000375,1972,,1,0,0,0,0,46,7,6,0,0,2,0,2,1,0,1.645203,1,0,0,0,0,46,7,7,1,1,2,0,2,1,0,2.001346,2.425436,0.825149,2,49,2,7,9,1,49,1,7,8,0,2.594241,0.634175,2,0.273386,0.273386,52
