Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
10700,"Adams, Alma",21545,117,2021,NC,12,1,2014,1,100,0,0,13,0,1,1,0,10000,0,0,1,0,1,0,0,0,0,0,5,232,157,100,"ADAMS, Alma",A000370,1946,,0,0,0,0,0,29,3,2,0,0,0,0,0,0,0,0.688093,0,0,0,0,0,29,3,2,1,1,0,0,0,0,0,0.931207,1.458483,0.638476,2,29,1,3,2,1,29,0,3,2,0,1.454615,0.473041,1,2,,142
10701,"Aderholt, Robert",29701,117,2021,AL,4,0,1996,0,82,0,1,7,0,0,0,0,6724,1,0,0,0,0,0,0,1,1,0,13,222,222,200,"ADERHOLT, Robert",A000055,1965,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.639988,0.000000,1,0,0,0,0,0,0,0,0,0,0,0.688339,0.000000,1,0,,222
10702,"Aguilar, Pete",21506,117,2021,CA,31,1,2014,0,61,0,0,53,0,0,0,1,3721,1,0,0,0,1,1,0,0,0,0,4,232,156,100,"AGUILAR, Peter Rey",A000371,1979,,1,1,1,0,0,11,2,2,2,0,0,0,0,0,0,0.703024,1,1,1,0,0,11,2,2,2,0,0,0,0,0,0,0.615706,1.041091,0.591404,2,12,2,3,3,0,12,2,3,3,0,1.001715,0.701820,2,0,,175
10703,"Allen, Rick",21516,117,2021,GA,12,0,2014,0,58,1,0,14,0,0,0,0,3364,0,0,0,0,0,0,0,1,1,0,4,222,190,200,"ALLEN, Rick W.",A000372,1951,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.084844,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0.419160,0.578841,0.724136,2,9,1,0,1,1,9,0,0,0,0,0.513593,0.165197,1,0,,108
10704,"Allred, Colin",21900,117,2021,TX,32,1,2018,0,52,0,1,36,0,0,1,0,2704,0,0,0,0,1,0,0,0,0,0,2,232,109,100,"ALLRED, Colin",A000376,1983,,0,0,0,0,0,12,1,2,2,1,0,0,0,0,0,1.153693,0,0,0,0,0,12,1,3,3,2,0,0,0,0,0,1.021641,1.027503,0.994295,2,12,3,1,3,2,12,2,1,2,1,0.962883,1.198165,2,0,,133
10705,"Amodei, Mark",21196,117,2021,NV,2,0,2011,0,57,0,0,4,0,0,0,0,3249,1,0,1,0,0,0,0,1,1,0,6,222,144,200,"AMODEI, Mark E.",A000369,1958,,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0.237732,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0.237732,0.592429,0.401283,1,7,0,2,0,0,7,0,2,0,0,0.552426,0.430342,1,0,,149
10706,"Armstrong, Kelly",21901,117,2021,ND,1,0,2018,0,69,0,0,1,0,0,0,0,4761,0,0,1,0,0,0,0,1,1,0,2,222,162,200,"ARMSTRONG, Kelly",A000377,1976,,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0.161288,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0.161288,0.565253,0.285338,1,8,0,1,0,0,8,0,1,0,0,0.474761,0.339725,1,0,,169
10707,"Arrington, Jodey",21700,117,2021,TX,19,0,2016,0,75,1,0,36,0,0,0,0,5625,1,0,0,0,0,0,0,1,1,0,3,222,126,200,"ARRINGTON, Jodey Cook",A000375,1972,,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0.273386,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0.273386,0.572047,0.477908,1,29,0,0,0,0,29,0,0,0,0,0.494177,0.553215,2,0,,139
10708,"Auchincloss, Jake",22100,117,2021,MA,4,1,2020,0,61,0,0,9,0,1,0,0,3721,0,0,0,0,1,0,0,0,0,1,1,232,199,100,"AUCHINCLOSS, Jake",A000148,1988,,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0.319987,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0.277593,1.431307,0.193944,1,4,1,1,1,0,4,1,1,1,0,1.376950,0.232388,1,,,206
10709,"Axne, Cindy",21902,117,2021,IA,3,1,2018,1,49,0,1,4,0,0,0,0,2401,0,0,0,0,1,0,0,0,0,0,2,232,37,100,"AXNE, Cynthia",A000378,1965,,0,0,0,0,0,39,5,7,4,1,0,0,0,0,0,2.380164,0,0,0,0,0,39,5,8,6,3,0,0,0,0,0,2.393785,1.027503,2.329711,3,39,6,5,8,3,39,4,5,7,1,0.962883,2.471914,3,1,,29
